GCCode  state    Latitude   Longtitude  FP Name
GC1KKP6 Found 50°43.829N 015°11.345E 11 Kominova_II_-_opsana_kruznice/circumcenter
GC1KKP7 Found 50°43.884N 015°09.011E 188 Kominova_III_-_prusecik_vysek/orthocenter
GC1KKP8 NotFound 50°44.307N 015°08.843E 123 Kominova_IV_-_vepsana_kruznice/incenter
GC1PGFK NotFound 50°44.999N 015°09.555E 47 Kominova_V_-_Feuerbachova_kruznice
GC1PP4G NotFound 50°42.807N 015°10.078E 241 Kominova_VI_-_Pripsane_kruznice/Excircles
GC20ABT NotFound 50°31.788N 015°16.149E 11 Konec_Antimony
GC22ETH NotFound 50°46.717N 015°02.381E 2 Konske_dostihy
GCV95F NotFound 50°39.552N 015°09.828E 3 Kopanina
GC2BJDV NotFound 50°42.979N 015°05.266E 4 Koralkova
GCYHWB NotFound 50°44.607N 015°05.433E 8 Kostel_Nejsvetejsi_Trojice_-_Vratislavice
GC1QNNT NotFound 50°46.493N 015°10.113E 4 Kostel_sv._Jana_Krtitele
GC2DZTE NotFound 50°45.564N 015°00.557E 6 Kostel_sv._Vojtecha
GCX2R3 NotFound 50°43.686N 015°04.071E 14 Kota 462_-_Vesecky_okruh_#1
GCXMWB NotFound 50°35.725N 015°15.691E 88 Kozakov_Sudoku_Cache
GC3A3YH NotFound 50°43.250N 015°23.950E 11 Krakonos_a_lyznici_jdou_do_skoly
GC2JZ25 Found 50°43.494N 014°59.772E 13 KS#_05_Bonusova_Kes_Karoliny_Svetle_#01
GC11QTV NotFound 50°41.020N 015°32.923E 11 La_Tenda_rossa
GC2G2ZC NotFound 50°44.174N 015°00.764E 88 Lanovka_Horni_Hanychov_-_Skalka
GC2K60W Found 50°48.956N 014°33.354E 47 Lasice-hranostaj
GCYTGA Found 50°46.854N 015°05.256E 14 Les_zpiva
GC2XG8M NotFound 50°43.289N 015°08.599E 32 Lesni_tramvaj_II_/_Waldbim_II
GC29J8B NotFound 50°41.600N 015°23.543E 84 Letterbox_-_Tam_a_zase_zpatky
GC1FC3E NotFound 50°40.842N 015°32.561E 32 Levinek
GC16DP9 NotFound 50°46.105N 015°03.981E 41 Liberec_-_Liebiegovo_mestecko
GC35N1P NotFound 50°46.240N 014°57.450E 33 Liberecka_jesterka_–_leva_predni_noha
GC35N1T Found 50°45.664N 014°57.134E 74 Liberecka_jesterka_-_leva_zadni_noha
GC35N1X NotFound 50°45.314N 014°58.139E 41 Liberecka_jesterka_-_oko
GC35N1G NotFound 50°46.000N 014°58.080E 21 Liberecka_jesterka_-_prava_predni_noha
GC35N1C NotFound 50°45.770N 014°57.860E 66 Liberecka_jesterka_-_prava_zadni_noha
GCYZKY NotFound 50°46.071N 015°03.584E 74 Liberecka_radnice_/_Liberec_Town_hall
GC10ZTJ NotFound 50°45.707N 015°03.403E 21 Liberecka_Slunecní_Cache_/_Liberec_Sunny_Cache
GC35FY2 NotFound 50°46.043N 015°01.572E 1 Liberecka_zdravotnicka
GCZPF6 NotFound 50°46.551N 015°02.869E 21 Liberecke_tramvaje
GC1Z9JM NotFound 50°33.300N 015°24.978E 11 Libstatsky_kamenny_most
GC1F20P NotFound 50°46.656N 015°04.848E 33 Lidove_Sady_Liberec_sifrovane_/_Popular_Orchards
GC340C6 Found 50°38.631N 014°55.367E 84 LOKOMOBILA
GC1047E NotFound 50°31.220N 015°21.914E 91 Lomnice_nad_Popelkou
GC213MG NotFound 50°44.690N 015°07.709E 91 Lukasovske_opevneni
GC16J3G NotFound 50°50.296N 014°32.900E 92 Lužické_sedmistovky/Lausitzer_Siebenhunderter
GC28833 NotFound 50°42.678N 015°09.575E 11 Lyzarsky_vlek_Dobra_Voda
GC2GR3F NotFound 50°29.654N 014°34.938E 113 Macha_v_Raji
GC286G7 NotFound 50°40.854N 014°49.536E 21 MALY_JELENI_VRCH
GC280G6 NotFound 50°48.314N 014°29.482E 47 Marsal_Ney
GC2RHZJ NotFound 50°43.520N 015°07.605E 45 Matematicka_olympiada
GC1W21R NotFound 50°46.995N 015°07.004E 32 Mesni_skala
GC1BH2H NotFound 50°43.423N 015°10.301E 21 Mesto_skla_a_bizuterie
GC1F3EE NotFound 50°43.848N 015°11.501E 74 Mestske_lazne_Paseky
GC1RV1B NotFound 50°46.935N 015°07.463E 41 Meteorologicka
GC157PD NotFound 50°35.244N 015°09.035E 21 Mezi_mosty
GCX3X2 NotFound 50°53.202N 015°11.382E 54 Milý_ostrov
GC2M9AP NotFound 50°44.718N 015°10.330E 68 Modra_je_dobra
GCVQA2 NotFound 50°43.788N 015°05.827E 10 Mojzisuv_Pramen_-_Vesecky_okruh_#3
GC31584 Found 50°36.404N 014°23.223E 50 Morove_rany_II.
GC25MYE Found 50°39.957N 015°09.893E 60 Mozkovrtka_Skalni
GC1RWGK NotFound 50°46.639N 015°06.700E 2 Mravenci_vyhlidka/Formic_vista
GC36TQZ NotFound 50°42.523N 015°09.761E 0 Mrazik
GC12A3Z Found 50°35.371N 015°09.418E 2 Muzeum_Ceského_ráje
GC1D11R NotFound 50°40.930N 014°51.700E 54 My_Ukrajinci_remizy_neznajem
