  GCKod   Latitude  Longtitude                           Name
GC12DP7   50°41,337N 14°40,246E     NUZE,_WATSONE?/SO,_WATSON?                        
GC1QG0V   50°45,769N 15°10,670E     O_Budulinkovi                                     
GC11ANQ   50°46,325N 14°47,402E     Obelix´s_trip                                     
GC182WW   50°45,074N 15°06,401E     Obet_nejvyssi_-_The_highest_victim                
GC18DD9   50°46,047N 15°03,707E     Oblastni_galerie_v_Liberci                        
GC159KY   50°30,684N 15°12,058E     Ocima_datla                                       
GC159VK   50°32,007N 15°14,362E     Ocima_stareho_sokola                              
GC2N9PN   50°43,978N 15°10,539E     OKO_BERE                                          
GC1KZHK   50°49,843N 15°09,055E     Osamele_jizerske_pomnicky_3_-_Porscheho_smrt      
GC1KZJB   50°49,782N 15°11,133E     Osamele_jizerske_pomnicky_4_-_Kdo_jinemu_jamu_kopa
GC1BVKP   50°45,429N 14°31,635E     Otaznik                                           
GC2VTKP   50°47,088N 14°59,091E     Pamatne_stromy_Liberce                            
GC2Y3CF   50°35,136N 14°24,565E     Pamatne_stromy_ve_Skalce                          
GC2M3BA   50°46,547N 15°03,963E     pamatnik_/_memorial                               
GC2TK4D   50°34,991N 15°09,118E     Pamatny_buk                                       
GC2A6YK   50°43,802N 15°05,844E     Pamatny_dub_na_Orli_louce                         
GC1PXG1   50°35,582N 14°32,798E     Pan_Filuta_se_zlobí.....                          
GC1E1QY   50°41,453N 15°23,842E     Pan_prstenu_#_1_-_Kraj                            
GC1E65R   50°41,127N 15°26,633E     Pan_prstenu_#_2_-_Fangorn                         
GC1E65W   50°46,316N 15°22,639E     Pan_prstenu_#_3_-_Odula                           
GC1E660   50°44,818N 15°32,024E     Pan_prstenu_#_4_-_Hora                            
GC2MJ5V   50°40,777N 15°13,444E     Panoramata                                        
GC1JH4B   50°38,655N 14°35,157E     Pat_a_Mat                                         
GC1ZF1R   50°38,411N 14°30,606E     Pavlik                                            
GC1TT7D   50°43,582N 15°18,947E     Pavlinka_aneb_konec_textilu_v_Cechach             
GC16965   50°48,590N 15°04,507E     Pavucinka                                         
GC2W50Q   50°44,277N 15°10,261E     Pepicek_jde_do_skolky                             
GC1R7NX   50°46,297N 15°25,497E     Pernikova_chaloupka                               
GC1W2RY   50°48,416N 14°28,019E     Pocitani_ovecek                                   
GC1FJBK   50°45,352N 15°13,930E     Pocta_Jane_Austenove_-_Tribute_to_Jane_Austen     
GC2QAXB   50°24,270N 14°18,157E     Podripsko_literarni_#1:_Broucci                   
GC35DHJ   50°35,328N 15°08,331E     Podzimni_malovani/The_Autumn_painting             
GC2NTT7   50°58,286N 15°01,269E     Pohanske_kameny                                   
GC1810X   50°46,235N 15°26,042E     Poklad_piratu_/_Pirate´s_treasure                 
GC26FB3   50°34,547N 14°41,600E     Popelka_bez_holoubka_/_Cinderella_without_the_pige
GC32456   50°35,787N 14°24,827E     POSLEDNI_KRIZOVA_CESTA                            
GC2H9YG   50°45,885N 15°03,149E     Povolebni...                                      
GC2QBXG   50°43,973N 15°05,774E     Pozorovatelna/Loophole                            
GCVQAW    50°45,469N 15°05,341E     Práce_pro_Columba_/_Task_for_Columbo              
GC1T7JA   50°42,144N 15°12,842E     Pramen_Zernovniku                                 
GC137NY   50°41,716N 14°39,672E     Pramen_Trí_svatých                                
GC133XJ   50°43,544N 15°13,634E     Prameny_Nisy_#1                                   
GC19GYE   50°44,266N 15°10,553E     Prehradni_zahada                                  
GC2NK1T   50°45,704N 15°06,984E     Princezna_z_Harcova                               
GC2CXJ2   50°45,227N 15°02,736E     Pruhovane_prase_?                                 
GC1HFQF   50°45,389N 15°04,928E     PSZ_-_1                                           
GC2RRK0   50°36,167N 15°18,073E     Pub_Tour_Bonus                                    
GC2RA6A   50°40,291N 14°33,224E     Pulnocni_projektant                               
GC269EA   50°42,232N 15°25,440E     Rakosnicek_aneb_ucime_se_hrát_Wherigo             
GC19XBP   50°31,599N 15°04,795E     Rasovina_2007                                     
GC1KCKH   50°32,674N 14°32,185E     Receptova_cache                                   
GC27JBZ   50°38,225N 14°26,404E     Retezovka_-_Catenary                              
GC1YB78   50°45,027N 15°03,517E     Rochlice_-_kostel                                 
GC17JBE   50°32,083N 15°16,492E     Rovenská                                          
GC19VK6   50°36,475N 14°33,882E     Rozec                                             
GC210GB   50°39,594N 15°23,630E     Rozhledna_U_Borovice                              
GC2P455   50°43,457N 15°09,361E     rychla_smrt                                       
GC2W5EW   50°43,089N 15°04,323E     RYCHLOSTNICE_PRAHA_–_LIBEREC_(NIGHT               
GC18B42   50°43,019N 15°14,365E     Sankarska_draha_/_luge´s_track_Smrzovka           
GC19EPA   50°38,916N 15°15,562E     Sibenicni_vrch/Gallows_hill                       
GC1T9V1   50°40,447N 15°08,862E     Sifrovaci_hricky_II.                              
GC2HV72   50°42,536N 15°09,579E     Silvestrovska                                     
GC286RN   50°54,200N 15°12,644E     Singltrek_II.                                     
GC2XAXX   50°40,902N 14°31,637E     Sipkova                                           
GC1JPF2   50°35,505N 14°51,144E     Skalni_hradek_Slapka                              
GC1W28W   50°46,039N 15°25,938E     Skoky_na_lyzich_/_Ski_jumping                     
GCYGTW    50°44,810N 15°06,069E     Slunicko_-_Vratislavice                           
GC24X5J   50°41,523N 14°53,538E     SMENARNA_-_EXCHANGE_–_CWG                         
GC238E7   50°45,579N 15°03,457E     Smrt                                              
GC1908M   50°46,279N 15°04,132E     Snad_temna_naruc_pekla?                           
GC269PJ   50°40,813N 15°24,431E     Snehurka                                          
GC1QC8F   50°37,318N 15°08,616E     Sneni_/_Dreamery                                  
GC2CF0P   50°32,371N 14°42,620E     Snilek                                            
GC21MX7   50°46,172N 15°03,308E     Sokolovsky_tunel                                  
GC18QW6   50°36,849N 14°32,579E     Soudce_a_zlocinec                                 
GC2ADT8   50°45,021N 15°11,107E     Spadla_z_oblakov                                  
GC14JP3   50°47,433N 14°58,450E     Srdce                                             
GC2GPGW   50°47,111N 15°12,534E     Srdickova                                         
GC1HZ5N   50°42,986N 15°08,931E     Srnci_dul                                         
GC2E8RC   50°49,607N 15°04,286E     STAND_UP                                          
GC11GNW   50°37,426N 15°26,495E     Starousek                                         
GCWGDT    50°34,145N 14°35,302E     Starý_Berštejn_/_Old_Berstein                     
GC26JX2   50°41,596N 14°32,420E     Straznik                                          
GC182VD   50°41,467N 14°32,057E     Strelnice                                         
GC2JKW8   50°41,175N 14°32,371E     Stroboskop                                        
GC1092H   50°45,015N 15°09,868E     Studna/Well,_ver._2                               
GC1J6J1   50°44,217N 14°59,315E     sudoku_cache                                      
GC24X2F   50°36,468N 14°34,569E     Sv._Jan_Nepomucky_/_EN                            
